Country,Region/Continent,HDI,Population (Thousands),Tourism (Millions),Tourism Per Capita,CO2 Per Capita,PM2.5 Concentration,Waste (Tons),Waste Per Capita,C02 Per Capita Z Score,PM2.5 Concentration Z Score,Waste Per Capita Z Score,Composite Environmental Z Score,Tourism Outlier,Plastic Waste % of total,Plastic Waste Per Capita,Plastic Waste Per Capita Z Score
Greece,Europe,0.908,"10,388.81",36,3.465266956,5.39,11.5,5615352.5,0.540519318,-0.215905577,-0.377132359,0.853754414,0.086905493,No,14,0.075672705,1.130617626
Portugal,Europe,0.89,"10,701.64",29,2.70986503,3.57,6.8,5268211,0.492280716,-0.470405674,-0.799161426,0.572114661,-0.232484146,No,10.72,0.052772493,0.280449672
UAE,Middle East,0.94,"10,876.98",28.1,2.583437682,21.55,33.7,5617682,0.516474426,2.043831547,1.616281537,0.713368971,1.457827351,No,19,0.098130141,1.964347586
Singapore,Asia,0.946,"6,036.86",12.4,2.054047965,8.51,11.4,1870000,0.309763685,0.220380304,-0.3861117,-0.493505995,-0.219745797,No,10.58,0.032772998,-0.462029469
Spain,Europe,0.918,"48,807.14",93.8,1.921849959,4.63,8.7,22408548,0.459124382,-0.322180342,-0.628553931,0.378532321,-0.190733984,No,9,0.041321194,-0.144678573
Qatar,Middle East,0.886,"2,857.82",5.1,1.784577055,38.84,31.3,1000990.016,0.350263493,4.461582467,1.400777332,-0.257048981,1.868436939,yes,14,0.049036889,0.141765778
France,Europe,0.92,"68,516.70",102,1.488688159,4.1,8.1,36748820,0.536348365,-0.396293008,-0.682429982,0.829402415,-0.083106858,yes,9,0.048271353,0.113345327
Netherlands,Europe,0.955,"17,994.24",21.3,1.183712121,6.56,8.9,8805088,0.489328141,-0.052298372,-0.610595247,0.554876132,-0.036005829,yes,14,0.06850594,0.864552234
Fiji,Oceania,0.731,928.78,0.98,1.055147613,1.24,2,189389.594,0.203912222,-0.796221732,-1.230169836,-1.111516843,-1.04596947,yes,7.5,0.015293417,-1.110957081
Switzlerland,Europe,0.97,"9,034.10",9.2,1.018363755,3.69,7.3,6079556,0.672956465,-0.453625447,-0.754264717,1.626985046,0.139698294,yes,15,0.10094347,2.068792123
Italy,Europe,0.915,"58,986.02",57.7,0.978197885,5.27,14.2,30088400,0.510093748,-0.232685803,-0.134690128,0.676115557,0.102913209,yes,11.6,0.059170875,0.51798893
Norway,Europe,0.97,"5,572.27",5,0.897300382,7.05,6.6,4149967.25,0.74475344,0.016220885,-0.81712011,2.046169705,0.41509016,yes,2.25,0.016756952,-1.056623472
Saudi Arabia,Middle East,0.9,"35,300.28",29.7,0.8413531,22.13,25.1,16125700.58,0.45681509,2.124935974,0.844058136,0.365049581,1.111347897,yes,11,0.05024966,0.186789768
Sweden,Europe,0.959,"10,569.71",8.7,0.823106783,3.46,5.3,4618168.5,0.436924807,-0.485787548,-0.933851554,0.248920712,-0.390239463,yes,6.58,0.028749652,-0.611395751
Turkey,Middle East,0.853,"85,518.66",60.6,0.708617277,4.95,15.3,35374156,0.413642543,-0.277433073,-0.035917367,0.112987856,-0.066787528,yes,3,0.012409276,-1.21803049
Malaysia,Asia,0.819,"35,557.67",25,0.703083189,8.22,18.3,12982685,0.365116303,0.17982809,0.233462889,-0.170331262,0.080986572,yes,15,0.054767445,0.354512079
United Kingdom,Europe,0.946,"69,226.00",41.8,0.603819374,4.44,7.4,30771140,0.444502644,-0.348749034,-0.745285375,0.293163702,-0.266956902,yes,20.2,0.089789534,1.654703432
Thailand,Asia,0.798,"71,668.01",35.5,0.495339552,3.69,19.8,26853366,0.374691107,-0.453625447,0.368153017,-0.114429031,-0.066633821,yes,17.59,0.065908166,0.768110149
Canada,North America,0.939,"41,288.60",19.9,0.481973232,13.98,6.7,25103034,0.607989469,0.985278946,-0.808140768,1.247677031,0.474938403,yes,3,0.018239684,-1.001577214
Morocco,Africa,0.71,"38,081.17",17.4,0.456918734,1.82,11.7,6852000,0.179931446,-0.715117305,-0.359173675,-1.251527944,-0.775272975,yes,8,0.014394516,-1.144328685
Germany,Europe,0.959,"83,510.95",37.5,0.44904291,7.05,9,50627876,0.606242367,0.016220885,-0.601615905,1.237476623,0.217360534,yes,13,0.078811508,1.247145362
Mexico,North America,0.789,"130,861.01",45,0.343876301,3.72,17.4,53100000,0.405774035,-0.449430391,0.152648812,0.067047786,-0.076577931,yes,10.9,0.04422937,-0.036712869
South Korea,Asia,0.937,"51,751.07",16.4,0.31690166,11.16,17,20452776,0.395214553,0.590943632,0.116731444,0.005396544,0.23769054,yes,24.3,0.096037136,1.886645014
Australia,Oceania,0.958,"27,204.81",8.3,0.305093107,14.48,4.5,13345000,0.490538254,1.055196555,-1.005686289,0.561941346,0.203817204,yes,7.61,0.037329961,-0.292852688
Japan,Asia,0.925,"123,975.37",36.9,0.297639765,7.95,8.6,42720000,0.344584574,0.142072582,-0.637533273,-0.290205197,-0.261888629,yes,11,0.037904303,-0.271530303
Chile,South America,0.878,"19,764.77",5.2,0.263094385,3.93,16.6,6517000,0.329728097,-0.420064995,0.080814077,-0.376944326,-0.238731748,yes,9.4,0.030994441,-0.528058202
New Zealand,Oceania,0.938,"5,338.50",1.4,0.262245949,5.82,4.4,3405000,0.637819612,-0.155776433,-1.014665631,1.421839499,0.083799145,yes,8,0.051025569,0.215595312
Cuba,North America,0.762,"10,979.78",2.4,0.218583615,2.1,5.5,2692691.98,0.245240978,-0.675963444,-0.915892871,-0.870220046,-0.82069212,yes,9.6,0.023543134,-0.8046872
United States,North America,0.938,"340,110.99",72.4,0.212871686,14.3,7.1,265224528,0.779817577,1.030026216,-0.772223401,2.250890702,0.836231173,yes,12.9,0.100596467,2.055909697
Vietnam,Asia,0.766,"100,987.69",17.5,0.173288447,3.34,28.7,9570300,0.094766996,-0.502567774,1.167314443,-1.748758243,-0.361337191,yes,12.15,0.01151419,-1.251260474
